%Time,Header_sequence,Header_secs,Header_nsecs,Pose_x,Pose_y,Pose_z,Orientation_x,Orientation_y,Orientation_z,Orientation_w
1449280275186839066,620,1449280274,989865705,0.0,0.0,1.5,0.0,0.0,0.0,1.0
1449280275186843246,621,1449280275,9791783,0.0,0.0,1.5,0.0,0.0,0.0,1.0
1449280275186859619,622,1449280275,29893643,0.0,0.0,1.5,0.0,0.0,0.0,1.0
1449280275186867367,623,1449280275,49829887,0.0,0.0,1.5,0.0,0.0,0.0,1.0
1449280275186872123,624,1449280275,69818170,0.0,0.0,1.5,0.0,0.0,0.0,1.0
1449280275186888485,625,1449280275,89788246,0.0,0.0,1.5,0.0,0.0,0.0,1.0
1449280275186894790,626,1449280275,109817401,0.0,0.0,1.5,0.0,0.0,0.0,1.0
1449280275186962435,627,1449280275,130166166,0.0,0.0,1.5,0.0,0.0,0.0,1.0
1449280275206614188,628,1449280275,149841340,0.0,0.0,1.5,0.0,0.0,0.0,1.0
1449280275226108886,629,1449280275,169826040,0.0,0.0,1.5,0.0,0.0,0.0,1.0
1449280275247137272,630,1449280275,189832738,0.0,0.0,1.5,0.0,0.0,0.0,1.0
1449280275267224178,631,1449280275,209815230,0.0,0.0,1.5,0.0,0.0,0.0,1.0
1449280275286995857,632,1449280275,229818262,0.0,0.0,1.5,0.0,0.0,0.0,1.0
1449280275306799885,633,1449280275,249863125,0.0,0.0,1.5,0.0,0.0,0.0,1.0
1449280275327642302,634,1449280275,269831826,0.0,0.0,1.5,0.0,0.0,0.0,1.0
1449280275346072894,635,1449280275,289827150,0.0,0.0,1.5,0.0,0.0,0.0,1.0
1449280275366621465,636,1449280275,309831141,0.0,0.0,1.5,0.0,0.0,0.0,1.0
1449280275387121928,637,1449280275,330162781,0.0,0.0,1.5,0.0,0.0,0.0,1.0
1449280275411488274,638,1449280275,349799915,0.0,0.0,1.5,0.0,0.0,0.0,1.0
1449280275426468714,639,1449280275,369793614,0.0,0.0,1.5,0.0,0.0,0.0,1.0
1449280275447551004,640,1449280275,389830478,0.0,0.0,1.5,0.0,0.0,0.0,1.0
1449280275468550544,641,1449280275,409818220,0.0,0.0,1.5,0.0,0.0,0.0,1.0
1449280275486484078,642,1449280275,429841126,0.0,0.0,1.5,0.0,0.0,0.0,1.0
1449280275508205950,643,1449280275,449804618,0.0,0.0,1.5,0.0,0.0,0.0,1.0
1449280275526555940,644,1449280275,469821525,0.0,0.0,1.5,0.0,0.0,0.0,1.0
1449280275549588395,645,1449280275,489802225,0.0,0.0,1.5,0.0,0.0,0.0,1.0
1449280275567780770,646,1449280275,509784716,0.0,0.0,1.5,0.0,0.0,0.0,1.0
1449280275588177446,647,1449280275,529813955,0.0,0.0,1.5,0.0,0.0,0.0,1.0
1449280275607204600,648,1449280275,549897442,0.0,0.0,1.5,0.0,0.0,0.0,1.0
1449280275630292241,649,1449280275,569815228,0.0,0.0,1.5,0.0,0.0,0.0,1.0
1449280275647168884,650,1449280275,589798261,0.0,0.0,1.5,0.0,0.0,0.0,1.0
1449280275666468632,651,1449280275,609808460,0.0,0.0,1.5,0.0,0.0,0.0,1.0
1449280275688216347,652,1449280275,629837949,0.0,0.0,1.5,0.0,0.0,0.0,1.0
1449280275707391526,653,1449280275,649820107,0.0,0.0,1.5,0.0,0.0,0.0,1.0
1449280275731024382,654,1449280275,669834389,0.0,0.0,1.5,0.0,0.0,0.0,1.0
1449280275746547961,655,1449280275,689824422,0.0,0.0,1.5,0.0,0.0,0.0,1.0
1449280275770364761,656,1449280275,709809080,0.0,0.0,1.5,0.0,0.0,0.0,1.0
1449280275786316550,657,1449280275,729882275,0.0,0.0,1.5,0.0,0.0,0.0,1.0
1449280275806697936,658,1449280275,749873808,0.0,0.0,1.5,0.0,0.0,0.0,1.0
1449280275827469194,659,1449280275,769896797,0.0,0.0,1.5,0.0,0.0,0.0,1.0
1449280275846434430,660,1449280275,789856207,0.0,0.0,1.5,0.0,0.0,0.0,1.0
1449280275867913344,661,1449280275,809919278,0.0,0.0,1.5,0.0,0.0,0.0,1.0
1449280275886896888,662,1449280275,829806691,0.0,0.0,1.5,0.0,0.0,0.0,1.0
1449280275907158198,663,1449280275,849811598,0.0,0.0,1.5,0.0,0.0,0.0,1.0
1449280275926307218,664,1449280275,869800714,0.0,0.0,1.5,0.0,0.0,0.0,1.0
1449280275947470602,665,1449280275,889818579,0.0,0.0,1.5,0.0,0.0,0.0,1.0
1449280275966184744,666,1449280275,909920064,0.0,0.0,1.5,0.0,0.0,0.0,1.0
