%Time,Header_sequence,Header_secs,Header_nsecs,Pose_x,Pose_y,Pose_z,Orientation_x,Orientation_y,Orientation_z,Orientation_w
1449284320433491348,190,1449284320,323000415,0.0,0.0,1.5,0.0,0.0,0.0,1.0
1449284320433510264,191,1449284320,342948470,0.0,0.0,1.5,0.0,0.0,0.0,1.0
1449284320433538641,192,1449284320,363504436,0.0,0.0,1.5,0.0,0.0,0.0,1.0
1449284320433549819,193,1449284320,383147409,0.0,0.0,1.5,0.0,0.0,0.0,1.0
1449284320433570611,194,1449284320,402987672,0.0,0.0,1.5,0.0,0.0,0.0,1.0
1449284320433596423,195,1449284320,422964976,0.0,0.0,1.5,0.0,0.0,0.0,1.0
1449284320447898364,196,1449284320,442955280,0.0,0.0,1.5,0.0,0.0,0.0,1.0
1449284320468637302,197,1449284320,462954542,0.0,0.0,1.5,0.0,0.0,0.0,1.0
1449284320487133423,198,1449284320,482956054,0.0,0.0,1.5,0.0,0.0,0.0,1.0
1449284320508654438,199,1449284320,502960608,0.0,0.0,1.5,0.0,0.0,0.0,1.0
1449284320527759613,200,1449284320,522967786,0.0,0.0,1.5,0.0,0.0,0.0,1.0
1449284320547964073,201,1449284320,542948132,0.0,0.0,1.5,0.0,0.0,0.0,1.0
1449284320567117738,202,1449284320,562947144,0.0,0.0,1.5,0.0,0.0,0.0,1.0
1449284320587878446,203,1449284320,582962198,0.0,0.0,1.5,0.0,0.0,0.0,1.0
1449284320607522971,204,1449284320,603238791,0.0,0.0,1.5,0.0,0.0,0.0,1.0
1449284320627957995,205,1449284320,622990180,0.0,0.0,1.5,0.0,0.0,0.0,1.0
1449284320647802176,206,1449284320,643214149,0.0,0.0,1.5,0.0,0.0,0.0,1.0
1449284320667283583,207,1449284320,662972912,0.0,0.0,1.5,0.0,0.0,0.0,1.0
1449284320687338180,208,1449284320,682952258,0.0,0.0,1.5,0.0,0.0,0.0,1.0
1449284320707049097,209,1449284320,702957895,0.0,0.0,1.5,0.0,0.0,0.0,1.0
1449284320729218411,210,1449284320,722979865,0.0,0.0,1.5,0.0,0.0,0.0,1.0
1449284320747414510,211,1449284320,742935586,0.0,0.0,1.5,0.0,0.0,0.0,1.0
1449284320767947722,212,1449284320,762991889,0.0,0.0,1.5,0.0,0.0,0.0,1.0
1449284320787491259,213,1449284320,782951235,0.0,0.0,1.5,0.0,0.0,0.0,1.0
1449284320807899129,214,1449284320,802944747,0.0,0.0,1.5,0.0,0.0,0.0,1.0
1449284320827297656,215,1449284320,822958759,0.0,0.0,1.5,0.0,0.0,0.0,1.0
1449284320848046064,216,1449284320,843109270,0.0,0.0,1.5,0.0,0.0,0.0,1.0
1449284320867031774,217,1449284320,862939033,0.0,0.0,1.5,0.0,0.0,0.0,1.0
1449284320886971276,218,1449284320,882958004,0.0,0.0,1.5,0.0,0.0,0.0,1.0
1449284320910422037,219,1449284320,902955849,0.0,0.0,1.5,0.0,0.0,0.0,1.0
1449284320927526752,220,1449284320,923002194,0.0,0.0,1.5,0.0,0.0,0.0,1.0
1449284320947663264,221,1449284320,942974540,0.0,0.0,1.5,0.0,0.0,0.0,1.0
1449284320967501510,222,1449284320,962973844,0.0,0.0,1.5,0.0,0.0,0.0,1.0
