%Time,Header_sequence,Header_secs,Header_nsecs,Pose_x,Pose_y,Pose_z,Orientation_x,Orientation_y,Orientation_z,Orientation_w
1449283995453309391,224,1449283995,326891412,0.0,0.0,1.5,0.0,0.0,0.0,1.0
1449283995453331352,225,1449283995,346866602,0.0,0.0,1.5,0.0,0.0,0.0,1.0
1449283995453346211,226,1449283995,367302547,0.0,0.0,1.5,0.0,0.0,0.0,1.0
1449283995453358580,227,1449283995,386924568,0.0,0.0,1.5,0.0,0.0,0.0,1.0
1449283995453384881,228,1449283995,407071427,0.0,0.0,1.5,0.0,0.0,0.0,1.0
1449283995453400036,229,1449283995,426884241,0.0,0.0,1.5,0.0,0.0,0.0,1.0
1449283995453446699,230,1449283995,446875849,0.0,0.0,1.5,0.0,0.0,0.0,1.0
1449283995471160412,231,1449283995,466915540,0.0,0.0,1.5,0.0,0.0,0.0,1.0
1449283995491329374,232,1449283995,486951356,0.0,0.0,1.5,0.0,0.0,0.0,1.0
1449283995511352396,233,1449283995,506909797,0.0,0.0,1.5,0.0,0.0,0.0,1.0
1449283995530492683,234,1449283995,526878196,0.0,0.0,1.5,0.0,0.0,0.0,1.0
1449283995551469520,235,1449283995,546894387,0.0,0.0,1.5,0.0,0.0,0.0,1.0
1449283995571115667,236,1449283995,566905828,0.0,0.0,1.5,0.0,0.0,0.0,1.0
1449283995591239505,237,1449283995,586883686,0.0,0.0,1.5,0.0,0.0,0.0,1.0
1449283995610779935,238,1449283995,606888543,0.0,0.0,1.5,0.0,0.0,0.0,1.0
1449283995631467154,239,1449283995,626930860,0.0,0.0,1.5,0.0,0.0,0.0,1.0
1449283995651383577,240,1449283995,647012343,0.0,0.0,1.5,0.0,0.0,0.0,1.0
1449283995671556792,241,1449283995,666874783,0.0,0.0,1.5,0.0,0.0,0.0,1.0
1449283995691308787,242,1449283995,686862890,0.0,0.0,1.5,0.0,0.0,0.0,1.0
1449283995711181169,243,1449283995,706894832,0.0,0.0,1.5,0.0,0.0,0.0,1.0
1449283995731328891,244,1449283995,726876064,0.0,0.0,1.5,0.0,0.0,0.0,1.0
1449283995751508141,245,1449283995,746898922,0.0,0.0,1.5,0.0,0.0,0.0,1.0
1449283995771599551,246,1449283995,766920030,0.0,0.0,1.5,0.0,0.0,0.0,1.0
1449283995791158592,247,1449283995,786964138,0.0,0.0,1.5,0.0,0.0,0.0,1.0
1449283995812438742,248,1449283995,806925162,0.0,0.0,1.5,0.0,0.0,0.0,1.0
1449283995831175564,249,1449283995,826914353,0.0,0.0,1.5,0.0,0.0,0.0,1.0
