%Time,Header_sequence,Header_secs,Header_nsecs,Pose_x,Pose_y,Pose_z,Orientation_x,Orientation_y,Orientation_z,Orientation_w
1449283566309621173,211,1449283566,192865341,0.0,0.0,1.5,0.0,0.0,0.0,1.0
1449283566309640164,212,1449283566,212863975,0.0,0.0,1.5,0.0,0.0,0.0,1.0
1449283566309652148,213,1449283566,232797776,0.0,0.0,1.5,0.0,0.0,0.0,1.0
1449283566309670006,214,1449283566,252803410,0.0,0.0,1.5,0.0,0.0,0.0,1.0
1449283566309680935,215,1449283566,272806628,0.0,0.0,1.5,0.0,0.0,0.0,1.0
1449283566309700488,216,1449283566,292806846,0.0,0.0,1.5,0.0,0.0,0.0,1.0
1449283566329646752,217,1449283566,313045442,0.0,0.0,1.5,0.0,0.0,0.0,1.0
1449283566346051577,218,1449283566,332779740,0.0,0.0,1.5,0.0,0.0,0.0,1.0
1449283566367821350,219,1449283566,352783333,0.0,0.0,1.5,0.0,0.0,0.0,1.0
1449283566386760986,220,1449283566,372789218,0.0,0.0,1.5,0.0,0.0,0.0,1.0
1449283566409247944,221,1449283566,392790769,0.0,0.0,1.5,0.0,0.0,0.0,1.0
1449283566426560566,222,1449283566,412815779,0.0,0.0,1.5,0.0,0.0,0.0,1.0
1449283566447705530,223,1449283566,432791663,0.0,0.0,1.5,0.0,0.0,0.0,1.0
1449283566466643752,224,1449283566,452861215,0.0,0.0,1.5,0.0,0.0,0.0,1.0
1449283566486201805,225,1449283566,472834308,0.0,0.0,1.5,0.0,0.0,0.0,1.0
1449283566506383977,226,1449283566,492832401,0.0,0.0,1.5,0.0,0.0,0.0,1.0
1449283566526166932,227,1449283566,512813785,0.0,0.0,1.5,0.0,0.0,0.0,1.0
1449283566546859043,228,1449283566,532803669,0.0,0.0,1.5,0.0,0.0,0.0,1.0
1449283566566249093,229,1449283566,552815971,0.0,0.0,1.5,0.0,0.0,0.0,1.0
1449283566586709694,230,1449283566,572820855,0.0,0.0,1.5,0.0,0.0,0.0,1.0
1449283566608165383,231,1449283566,592825032,0.0,0.0,1.5,0.0,0.0,0.0,1.0
1449283566626355675,232,1449283566,612807874,0.0,0.0,1.5,0.0,0.0,0.0,1.0
1449283566649153150,233,1449283566,632812259,0.0,0.0,1.5,0.0,0.0,0.0,1.0
1449283566666365142,234,1449283566,652783726,0.0,0.0,1.5,0.0,0.0,0.0,1.0
1449283566686884371,235,1449283566,672804778,0.0,0.0,1.5,0.0,0.0,0.0,1.0
1449283566706248333,236,1449283566,692806996,0.0,0.0,1.5,0.0,0.0,0.0,1.0
1449283566727384229,237,1449283566,712776547,0.0,0.0,1.5,0.0,0.0,0.0,1.0
1449283566745867725,238,1449283566,732819348,0.0,0.0,1.5,0.0,0.0,0.0,1.0
1449283566766743520,239,1449283566,752832442,0.0,0.0,1.5,0.0,0.0,0.0,1.0
1449283566787376298,240,1449283566,772804284,0.0,0.0,1.5,0.0,0.0,0.0,1.0
1449283566806495702,241,1449283566,792871961,0.0,0.0,1.5,0.0,0.0,0.0,1.0
1449283566826587804,242,1449283566,812859387,0.0,0.0,1.5,0.0,0.0,0.0,1.0
1449283566845734508,243,1449283566,832858772,0.0,0.0,1.5,0.0,0.0,0.0,1.0
1449283566866476433,244,1449283566,852803989,0.0,0.0,1.5,0.0,0.0,0.0,1.0
1449283566885959570,245,1449283566,872778165,0.0,0.0,1.5,0.0,0.0,0.0,1.0
1449283566906513273,246,1449283566,892777924,0.0,0.0,1.5,0.0,0.0,0.0,1.0
1449283566927189153,247,1449283566,912784684,0.0,0.0,1.5,0.0,0.0,0.0,1.0
1449283566946503047,248,1449283566,932809652,0.0,0.0,1.5,0.0,0.0,0.0,1.0
1449283566966063698,249,1449283566,952807537,0.0,0.0,1.5,0.0,0.0,0.0,1.0
1449283566987103559,250,1449283566,972824838,0.0,0.0,1.5,0.0,0.0,0.0,1.0
1449283567006375622,251,1449283566,992820223,0.0,0.0,1.5,0.0,0.0,0.0,1.0
