%Time,Header_sequence,Header_secs,Header_nsecs,Pose_x,Pose_y,Pose_z,Orientation_x,Orientation_y,Orientation_z,Orientation_w
1449282971350921525,5753,1449282971,8576256,-0.010979433543980122,0.018187688663601886,0.07793198525905609,-0.010909125030394045,-0.008498647760585523,-0.01594555921051274,0.999777226745427
1449282971350983278,5754,1449282971,44630016,-0.010991299524903297,0.018194299191236506,0.07893706858158112,-0.010902331362678559,-0.008499787292532533,-0.015939528690574203,0.9997773873277803
1449282971350999796,5755,1449282971,68630016,-0.01098032295703888,0.01819901168346406,0.07838528603315353,-0.01090144597831302,-0.008500972407670745,-0.015932587047044193,0.9997774975531777
1449282971351040851,5756,1449282971,104437760,-0.010976764373481274,0.01821686513721944,0.07771648466587067,-0.01090053802573488,-0.008499891170855626,-0.015933040856995057,0.9997775094139107
1449282971351058451,5757,1449282971,140437760,-0.01095670834183693,0.018234165385365497,0.07801105082035065,-0.010904094738107458,-0.008500133893744566,-0.01593562745982218,0.9997774273403018
1449282971351084902,5758,1449282971,176437760,-0.010942727327346802,0.018259236589074145,0.07798956334590912,-0.010889514366355914,-0.008501843327274992,-0.01593422839728964,0.999777594018933
1449282971351100052,5759,1449282971,212594176,-0.010914403945207596,0.0182817466557026,0.07853293418884277,-0.010877774266748932,-0.008505495249497494,-0.01592877345794881,0.9997777776854654
1449282971351116971,5760,1449282971,248594176,-0.01089480146765709,0.018306363373994838,0.07720126211643219,-0.010874604573303305,-0.008500560414810012,-0.015931711253160123,0.9997778073274853
1449282971351135880,5761,1449282971,284594176,-0.01088150218129158,0.01832493208348752,0.07511468231678009,-0.010871742012961863,-0.008500067352523398,-0.015921133176270412,0.9997780111599723
1449282971351151636,5762,1449282971,320455936,-0.010865199379622936,0.018364403396844874,0.07483157515525818,-0.01086480610206715,-0.00850019250247376,-0.01592899102374657,0.9997779603295679
1449282971377963267,5763,1449282971,344455936,-0.01085629966109991,0.01838570460677148,0.07466849684715271,-0.010876732092438895,-0.008508011084055274,-0.015924764447463553,0.9997778314824128
1449282971413005376,5764,1449282971,380455936,-0.010855517350137234,0.018387936055660258,0.07373219728469849,-0.010889144711968408,-0.008507959512292947,-0.01592695739081295,0.9997776618732039
1449282971448243609,5765,1449282971,416334336,-0.010838438756763935,0.01837560161948205,0.07335558533668518,-0.010891688555294718,-0.008506704384091006,-0.01593035384117816,0.999777590730774
1449282971483907578,5766,1449282971,452334336,-0.01083514653146267,0.018341723829507838,0.07375138252973557,-0.010897260753364153,-0.008507411216115908,-0.015927618000039057,0.9997775675855696
1449282971517229001,5767,1449282971,488334336,-0.010836473666131496,0.01830846816301347,0.07417786866426468,-0.010910839849082343,-0.008494767633260413,-0.015918982416096458,0.99977766453121
1449282971552184941,5768,1449282971,524331008,-0.010840029455721378,0.018273023888468753,0.07372424006462097,-0.010902771669366654,-0.008491231759151481,-0.015916923709330847,0.9997778153633783
1449282971587516265,5769,1449282971,560331008,-0.010847464203834534,0.0182640664279461,0.07342589646577835,-0.010903622522877408,-0.008489930211362353,-0.015917085025117707,0.9997778145694112
1449282971621872698,5770,1449282971,596331008,-0.010865678079426289,0.01826798915863038,0.07269588112831116,-0.010901915959434525,-0.008479676509620674,-0.015915549152893928,0.9997779446506447
1449282971656561170,5771,1449282971,620318720,-0.010879338718950748,0.018272515386343013,0.07211833447217941,-0.010895362564529333,-0.008477964680579857,-0.01590292815168036,0.9997782314421859
